iter	Passed	Remaining
156	2464	13234
157	2480	13217
158	2495	13197
159	2510	13179
160	2525	13158
161	2540	13140
162	2554	13119
163	2569	13098
164	2584	13078
165	2599	13059
166	2614	13042
167	2630	13025
168	2645	13008
169	2660	12990
170	2675	12971
171	2691	12955
172	2706	12937
173	2721	12920
174	2736	12900
175	2751	12881
176	2766	12862
177	2781	12844
178	2796	12824
179	2811	12806
180	2825	12787
181	2841	12771
182	2857	12755
183	2872	12738
184	2887	12719
185	2901	12699
186	2916	12681
187	2931	12662
188	2946	12643
189	2961	12625
190	2976	12608
191	2992	12592
192	3007	12575
193	3022	12556
194	3037	12540
195	3052	12520
196	3067	12504
197	3082	12486
198	3097	12467
199	3112	12449
200	3127	12430
201	3142	12414
202	3157	12396
203	3172	12380
204	3188	12364
205	3202	12345
206	3218	12328
207	3233	12311
208	3248	12294
209	3263	12275
210	3278	12257
211	3293	12241
212	3308	12222
213	3323	12205
214	3337	12186
215	3353	12171
216	3369	12156
217	3384	12141
218	3400	12128
219	3418	12119
220	3435	12110
221	3453	12101
222	3470	12092
223	3488	12084
224	3504	12069
225	3521	12059
226	3537	12044
227	3553	12032
228	3568	12014
229	3583	11996
230	3598	11978
231	3613	11961
232	3628	11943
233	3643	11928
234	3658	11911
235	3673	11892
236	3688	11874
237	3703	11856
238	3718	11839
239	3733	11822
240	3748	11805
241	3766	11796
242	3780	11777
243	3795	11760
244	3810	11741
245	3825	11725
246	3840	11709
247	3856	11692
248	3871	11675
249	3886	11659
250	3901	11641
251	3916	11623
252	3930	11606
253	3945	11589
254	3961	11573
255	3976	11555
256	3990	11538
257	4005	11521
258	4022	11507
259	4036	11489
260	4051	11472
261	4067	11457
262	4085	11448
263	4102	11438
264	4118	11422
265	4133	11405
266	4147	11386
267	4163	11370
268	4178	11354
269	4193	11336
270	4213	11335
271	4229	11320
272	4245	11304
273	4260	11288
274	4275	11270
275	4290	11254
276	4305	11238
277	4320	11221
278	4336	11205
279	4351	11188
280	4365	11171
281	4381	11154
282	4395	11137
283	4410	11120
284	4425	11102
285	4440	11086
286	4455	11069
287	4470	11052
288	4485	11035
289	4500	11019
290	4516	11003
291	4530	10985
292	4545	10968
293	4560	10950
294	4575	10935
295	4590	10918
296	4606	10903
297	4621	10885
298	4635	10868
299	4650	10851
300	4665	10834
301	4680	10817
302	4695	10800
303	4709	10783
304	4724	10766
305	4739	10749
306	4754	10732
307	4770	10717
308	4784	10700
309	4799	10683
310	4814	10667
311	4830	10650
312	4844	10634
313	4860	10618
314	4875	10601
315	4890	10584
316	4904	10567
317	4920	10551
318	4935	10535
319	4949	10518
320	4965	10502
321	4980	10486
322	4995	10469
323	5010	10453
324	5024	10436
325	5039	10419
326	5055	10403
327	5070	10387
328	5085	10372
329	5100	10355
330	5115	10339
331	5130	10322
332	5145	10306
333	5160	10289
334	5174	10272
335	5189	10256
336	5204	10239
337	5220	10224
338	5235	10208
339	5250	10192
340	5266	10177
341	5281	10161
342	5296	10144
343	5311	10128
344	5326	10112
345	5341	10096
346	5356	10080
347	5372	10064
348	5387	10048
349	5402	10032
350	5417	10016
351	5432	10000
352	5447	9984
353	5462	9968
354	5477	9952
355	5492	9935
356	5507	9919
357	5522	9903
358	5537	9887
359	5552	9871
360	5567	9855
361	5583	9839
362	5598	9824
363	5613	9808
364	5628	9791
365	5642	9774
366	5657	9758
367	5672	9742
368	5687	9725
369	5702	9709
370	5717	9693
371	5732	9677
372	5748	9662
373	5762	9645
374	5777	9629
375	5792	9613
376	5807	9597
377	5822	9581
378	5837	9564
379	5853	9549
380	5868	9534
381	5883	9518
382	5898	9502
383	5913	9485
384	5928	9469
385	5943	9453
386	5957	9437
387	5972	9420
388	5987	9404
389	6002	9387
390	6016	9371
391	6032	9355
392	6046	9339
393	6062	9324
394	6077	9309
395	6093	9293
396	6108	9277
397	6122	9261
398	6137	9245
399	6153	9229
400	6168	9213
401	6182	9197
402	6197	9181
403	6212	9165
404	6227	9149
405	6249	9143
